1646405772.799217 | INFO - Initialised Socket
1646405772.799382 | INFO - Node Starting
1646411561.621086 | INFO - Initialised Socket
1646411561.621213 | INFO - Node Starting
1646411590.03522 | INFO - New Client Connected 127.0.0.1:60680
1646411747.6380959 | INFO - Initialised Socket
1646411747.638325 | INFO - Node Starting
1646411774.4146109 | INFO - Initialised Socket
1646411774.414783 | INFO - Node Starting
1646411775.25438 | INFO - New Client Connected 127.0.0.1:60812
1646411828.8553789 | INFO - Initialised Socket
1646411828.855525 | INFO - Node Starting
1646411862.0479228 | INFO - Initialised Socket
1646411862.048078 | INFO - Node Starting
1646411878.657442 | INFO - Initialised Socket
1646411878.657603 | INFO - Node Starting
1646411901.563087 | INFO - New Client Connected 127.0.0.1:60869
1646411906.588268 | INFO - Shutting Down
1646413329.7404318 | node.py | INFO - Initialised Socket
1646413329.740696 | node.py | INFO - Node Starting
1646413351.153475 | node.py | INFO - New Client Connected 127.0.0.1:61424
1646413392.252863 | node.py | INFO - Initialised Socket
1646413392.253037 | node.py | INFO - Node Starting
1646413554.700696 | node.py | INFO - New Client Connected 127.0.0.1:61500
1646413601.4435682 | node.py | INFO - Initialised Socket
1646413601.443725 | node.py | INFO - Node Starting
1646413627.9681861 | node.py | INFO - New Client Connected 127.0.0.1:61534
1646413676.227044 | node.py | INFO - Initialised Socket
1646413676.227156 | node.py | INFO - Node Starting
1646413694.45577 | node.py | INFO - New Client Connected 127.0.0.1:61559
1646413733.06707 | node.py | INFO - Initialised Socket
1646413733.067255 | node.py | INFO - Node Starting
1646413748.702851 | node.py | INFO - New Client Connected 127.0.0.1:61577
1646413777.532298 | node.py | INFO - Initialised Socket
1646413777.5323799 | node.py | INFO - Node Starting
1646413796.5210292 | node.py | INFO - New Client Connected 127.0.0.1:61591
1646413905.125569 | node.py | INFO - Initialised Socket
1646413905.125679 | node.py | INFO - Node Starting
1646413924.887771 | node.py | INFO - New Client Connected 127.0.0.1:61710
1646413989.8550348 | node.py | INFO - Initialised Socket
1646413989.855166 | node.py | INFO - Node Starting
1646414010.1295612 | node.py | INFO - New Client Connected 127.0.0.1:61758
1646414100.233064 | node.py | INFO - Initialised Socket
1646414100.233196 | node.py | INFO - Node Starting
1646414124.018531 | node.py | INFO - New Client Connected 127.0.0.1:61806
1646414268.284693 | node.py | INFO - Initialised Socket
1646414268.284846 | node.py | INFO - Node Starting
1646414292.045822 | node.py | INFO - New Client Connected 127.0.0.1:61864
1646414338.156537 | node.py | INFO - Initialised Socket
1646414338.1566532 | node.py | INFO - Node Starting
1646414356.700604 | node.py | INFO - New Client Connected 127.0.0.1:61883
1646417221.10287 | node.py | INFO - Initialised Socket
1646417221.103078 | node.py | INFO - Node Starting
1646417235.863898 | node.py | INFO - New Client Connected 127.0.0.1:62721
1646417322.102978 | node.py | INFO - Initialised Socket
1646417322.103071 | node.py | INFO - Node Starting
1646417342.720236 | node.py | INFO - New Client Connected 127.0.0.1:62821
1646417379.247642 | node.py | INFO - Initialised Socket
1646417379.247759 | node.py | INFO - Node Starting
1646417402.134479 | node.py | INFO - New Client Connected 127.0.0.1:62915
1646417417.242254 | node.py | INFO - Client disconnected 127.0.0.1:62915
1646418671.504127 | node.py | INFO - Initialised Socket
1646418671.5043662 | node.py | INFO - Node Starting
1646418692.434724 | node.py | INFO - Initialised Socket
1646418692.435464 | node.py | INFO - Node Starting
1646418699.262356 | node.py | INFO - Initialised Socket
1646418699.263283 | node.py | INFO - Node Starting
1646418984.694832 | node.py | INFO - Initialised Socket
1646418984.695044 | node.py | INFO - Node Starting
1646419136.349217 | node.py | INFO - Initialised Socket
1646419136.3507478 | node.py | INFO - Node Starting
1646419151.3910558 | node.py | INFO - Shutting Down
1646419188.39154 | node.py | INFO - Initialised Socket
1646419188.392077 | node.py | INFO - Node Starting
1646419312.952383 | node.py | INFO - Initialised Socket
1646419312.95331 | node.py | INFO - Node Starting
1646419702.7213771 | node.py | INFO - Initialised Socket
1646419702.721813 | node.py | INFO - Node Starting
1646419798.276789 | node.py | INFO - Initialised Socket
1646419798.277536 | node.py | INFO - Node Starting
1646422208.261493 | node.py | INFO - Initialised Socket
1646422208.2635462 | node.py | INFO - Node Starting
1646422678.986103 | node.py | INFO - Initialised Socket
1646422678.986319 | node.py | INFO - Node Starting
1646422749.033228 | node.py | INFO - Initialised Socket
1646422749.033409 | node.py | INFO - Node Starting
1646422864.098791 | node.py | INFO - Initialised Socket
1646422864.0990982 | node.py | INFO - Node Starting
1646423132.897758 | node.py | INFO - Initialised Socket
1646423132.8980732 | node.py | INFO - Node Starting
1646593139.6937752 | node.py | INFO - Initialised Socket
1646593139.69444 | node.py | INFO - Node Starting
1646593989.57407 | node.py | INFO - Initialised Socket
1646593989.576562 | node.py | INFO - Node Starting
1646594307.654498 | node.py | INFO - Initialised Socket
1646594307.654772 | node.py | INFO - Node Starting
1646595486.177027 | node.py | INFO - Initialised Socket
1646595486.17731 | node.py | INFO - Node Starting
1646595555.538482 | node.py | INFO - Initialised Socket
1646595555.539226 | node.py | INFO - Node Starting
1646595568.09634 | node.py | INFO - Initialised Socket
1646595568.0982442 | node.py | INFO - Node Starting
1646596226.324988 | node.py | INFO - Initialised Socket
1646596226.326849 | node.py | INFO - Node Starting
1646596437.1855638 | node.py | INFO - Initialised Socket
1646596437.185927 | node.py | INFO - Node Starting
1646596476.18975 | node.py | INFO - Initialised Socket
1646596476.191952 | node.py | INFO - Node Starting
1646596608.453464 | node.py | INFO - Initialised Socket
1646596608.453799 | node.py | INFO - Node Starting
1646596751.705622 | node.py | INFO - Initialised Socket
1646596751.70592 | node.py | INFO - Node Starting
1646597017.879015 | node.py | INFO - Initialised Socket
1646597017.879303 | node.py | INFO - Node Starting
1646597069.8338518 | node.py | INFO - Initialised Socket
1646597069.834045 | node.py | INFO - Node Starting
1646597106.7114198 | node.py | INFO - Initialised Socket
1646597106.711859 | node.py | INFO - Node Starting
